State/UT,2022,2023,Incidents in 2024,Projected Population (in Lakhs),Rate of Total Cyber Crimes (2024),Chargesheeting Rate (2024),Key Trends
Andhra Pradesh,1899,1875,2341,530.3,4.4,16.8,"Moderate cybercrime activity, over 1,500 annual cases, primarily online fraud."
Arunachal Pradesh,30,47,14,15.5,0.9,50,"Minimal cases due to low digital penetration, under 50 annually."
Assam,3530,4846,1733,354.9,4.9,14,"Rising cases (1,200+ in 2022), focusing on social media misuse and fraud."
Bihar,1512,1413,1621,1255.3,1.3,69.3,"Cybercrime cases increased from 1,413 (2021) to 1,621 (2022), mostly fraud-related."
Chhattisgarh,297,352,439,299.5,1.5,78.8,"Rising incidents, especially rural digital scams, with 439 cases in 2022."
Goa,40,36,90,15.7,5.7,37.5,Low activity but tourism-related cybercrimes are notable; 90 cases in 2022.
Gujarat,1283,1536,1417,709.3,2,62.9,"Consistently 1,400+ annual cases, primarily advanced fraud."
Haryana,656,622,681,299.7,2.3,58,"Growing financial and social media-related crimes, 681 cases in 2022."
Himachal Pradesh,98,70,77,74.4,1,62.3,"Limited activity, with 70-100 annual cases linked to phishing."
Jharkhand,1204,953,967,391.4,2.5,63.6,"Known for phishing hubs like Jamtara, around 1,000 cases annually."
Karnataka,10741,8136,12556,674.1,18.6,21.1,"High cybercrime incidence (12,000+ in 2022), Bengaluru a major contributor."
Kerala,426,626,773,356.8,2.2,58.4,Increasing fraud and social media misuse; 773 cases in 2022.
Madhya Pradesh,699,589,826,858.9,1,85.2,"Steady rise in fraud cases, with 826 incidents in 2022."
Maharashtra,5496,5562,8249,1257.4,6.6,30.5,"Second-highest cybercrime (8,200+ cases in 2022), with Mumbai as a key hub."
Manipur,79,67,18,32,0.6,0,"Minimal activity, fewer than 20 cases in 2022."
Meghalaya,142,107,75,33.3,2.3,6.1,"Declining incidents, mostly social media misuse, with 75 cases in 2022."
Mizoram,13,30,1,12.3,0.1,0,"Rarely reported cybercrimes, under 10 annually."
Nagaland,8,8,4,22.2,0.2,10,"Historically low, with limited reported cases."
Odisha,1931,2037,1983,460.8,4.3,11.4,"Consistently 2,000+ annual cases, fraud-focused."
Punjab,378,551,697,306,2.3,58.8,Rural-targeted cyber frauds increasing; 697 cases in 2022.
Rajasthan,1354,1504,1833,804.4,2.3,40.5,"Rising financial fraud and cyberstalking; 1,833 cases in 2022."
Sikkim,0,0,26,6.8,3.8,,Minimal activity with just 26 cases in 2022.
Tamil Nadu,782,1076,2082,767.1,2.7,69.8,"Rapid growth in urban cybercrime; 2,082 cases in 2022."
Telangana,5024,10303,15297,379.5,40.3,17.1,"Significant increase to 15,297 cases in 2022, primarily in Hyderabad."
Tripura,34,24,30,41.2,0.7,22.5,"Rarely reported cases, under 50 annually."
Uttar Pradesh,11097,8829,10117,2340.9,4.3,45.3,"Highest cybercrime (10,000+ cases in 2022), focusing on fraud and extortion."
Uttarakhand,243,718,559,115.6,4.8,24.3,"Steady rise, fraud being key, with 559 cases in 2022."
West Bengal,712,513,401,987.6,0.4,73,Declining cases with improved enforcement; 401 in 2022.
TOTAL STATE(S),49708,52430,64907,13403,4.8,29.3,
A&N Islands,5,8,28,4,7,63.6,Low activity; 28 cases in 2022.
Chandigarh,17,15,27,12.2,2.2,42.1,Minor rise to 27 cases in 2022.
D&N Haveli and Daman & Diu,3,5,5,12,0.4,71.4,"Rarely reported cases, under 10 annually."
Delhi,168,356,685,211,3.2,89.3,"Urban challenges lead to rising cases, 685 reported in 2022."
Jammu & Kashmir,120,154,173,135.4,1.3,43.1,"Steady growth in cases, 173 reported in 2022."
Ladakh,1,5,3,3,1,0,"Negligible activity, fewer than 5 annual cases."
Lakshadweep,3,1,1,0.7,1.4,0,"Minimal incidents, typically 1-3 annually."
Puducherry,10,0,64,16.2,3.9,72.7,Sharp rise in cases to 64 in 2022.
TOTAL UT(S),327,544,986,394.5,2.5,70,
TOTAL ALL INDIA,50035,52974,65893,13797.5,4.8,29.6,
